code,semester,year,class,gradSch,age,shoe,siblings,expGrade,petLove,extrovert,cookLove,spender,texts,politics,macLove,csLove,statisticsLove,mathLove,feelingsVt,steps,countries,states,live,studyRate,sleepRate,exerciseRate,anticSalary,quantGifted,artist,athlete,major,majorOther,yearSch,analyticCourses,usaProblem,excitedClass,dataBoring,knowHd,lackMath
1976,Fall,2020,CMDA 2014,Other,44.1,7,1,A,100,60,10,29,15,Democrat,100,82,100,90,90,25000,15,22,5,15,49,11,30000,90,10,85,Math/Engineering/Statistics/Computer Science,Environmental Informatics,more than 7,50,Education,100,0,10,3.12244897959184
C2BR,Fall,2020,CMDA 2014,No,20.25,11,1,A,75,40,50,40,3,Independent,20,75,85,75,75,-99,6,9,2,21,56,3,1e+05,70,30,75,Math/Engineering/Statistics/Computer Science,Environmental Informatics,third,9,Education,85,0,8,0
3X13,Fall,2020,CMDA 2014,No,19,6,2,A,90,40,60,30,5,Democrat,47.5471698113208,30,50,20,80,7933,0,10,4,16,42,7,87896.6101694915,40,20,20,Physical/Life Science,Environmental Informatics,second,1,Health Care Costs,60,2,0,4
MNLA,Fall,2020,CMDA 2014,No,22,11.5,4,B+,61,70,70,60,25,Other,19,60,60,70,72,-99,5,15,4,30,49,10,80000,70,75,80,Business,Environmental Informatics,fourth,3,Other,75,2,2,1
MP72,Fall,2020,CMDA 2014,No,18,9.5,1,A,50,55,70,40,20,Democrat,1,90,85,85,90,-99,7,17,3,50,56,6,-100,100,70,100,Business,Environmental Informatics,second,6,Other,90,6,5,1
1210,Fall,2020,CMDA 2014,No,18,8.5,0,A,82,9,50,1,5,Democrat,100,45,1,9,50,-99,4,7,4,7,56,2,1e+05,12,12,0,Other,Computer Modeling and Data Analytics,first,2,Other,50,2,2,2
AOC1,Fall,2020,CMDA 2014,No,19,12,2,A,66,35,40,15,10,Democrat,47.5471698113208,90,69,70,75,5000,4,12,3,40,7,4,1e+05,81,42.2941176470588,31,Math/Engineering/Statistics/Computer Science,Environmental Informatics,second,2,Health Care Costs,71,3,8,3
EB98,Fall,2020,CMDA 2014,No,22,7,1,B+,100,50,90,20,30,Democrat,100,75,100,40,85,-99,8,16,6,20,50,6,55000,40,70,40,Physical/Life Science,Environmental Informatics,fifth,5,Other,95,0,6,2
4589,Fall,2020,CMDA 2014,No,21,8.5,2,A,95,49,40,50,10,Republican,1,85,65,74,100,-99,1,20,1,15,50,10,125000,88,8,87,Other,Environmental Informatics,fourth,3,Budget deficit,92,3,8,1
S4RS,Fall,2020,CMDA 2014,No,21.5,8,3,A,100,37,53,62,90,Democrat,44,79,27,12,70,99,7,26,2,10,49,16,120000,46,87,100,Other,Environmental Informatics,third,4,Education,79,1,4,0
1139,Fall,2020,CMDA 2014,No,19.11,9,1,A,71,71,53,83,12,Republican,100,50,50,64,100,-99,0,6,3,4,39,5,60000,3,1,64.3684210526316,Other,Public Relations,third,1,Budget deficit,50,8,0,7
1480,Fall,2020,CMDA 2014,No,19,9,1,A,63,50,76,70,50,Democrat,100,50,19,54.9655172413793,71,10000,2,8,1,6,6,5,1e+05,60.7833333333333,83,34,Humanities,Environmental Informatics,second,3,Health Care Costs,13,2.96296296296296,0,0
5561,Fall,2020,CMDA 2014,No,19,8.5,3,A-,100,68,81,1,100,Democrat,9,50,82,84,89,-99,8,6,4,38,40,8,150000,70,88,76,Physical/Life Science,Environmental Informatics,second,2,Health Care Costs,96,5,2,4
CM08,Fall,2020,CMDA 2014,No,19,7.5,1,A,61,82,49,93,450,Independent,100,61,100,75,100,-99,4,19,3,25,56,5,60000,40,42.2941176470588,60,Math/Engineering/Statistics/Computer Science,Environmental Informatics,second,4,Budget deficit,70,6,5,2
7230,Fall,2020,CMDA 2014,No,19.1,13,1,A-,68,38,69,71,50,Republican,71,50,74,77,74,-99,5,10,5,3,50,2,60000,80,40,64,Math/Engineering/Statistics/Computer Science,Environmental Informatics,second,2,Health Care Costs,76,2,6,2
606,Fall,2020,CMDA 2014,No,20,8.5,4,A-,100,90,90,30,75,Democrat,40,90,80,80,100,13000,4,11,6,4,49,8,70000,90,15,85,Math/Engineering/Statistics/Computer Science,Environmental Informatics,third,5,Crime/Violence,70,5,3,1
9723,Fall,2020,CMDA 2014,No,18.6,9.5,1,A,40,70,20,30,5,Republican,60,70,80,80,80,-99,0,10,2,1,56,7,80000,80,42.2941176470588,80,Math/Engineering/Statistics/Computer Science,Environmental Informatics,first,0,Budget deficit,80,2,0,2
8015,Fall,2020,CMDA 2014,No,18,9.5,0,A,80,45,60,25,100,Independent,5,85,75,50,75,1000,4,24,2,12,7,3,1e+05,60,95,80,Math/Engineering/Statistics/Computer Science,Environmental Informatics,first,3,Taxes,85,3,9,1
1444,Fall,2020,CMDA 2014,No,19,11,1,A-,45,45,70,50,20,Republican,1,53,59,23,87,-99,5,9,2,14,56,4,70000,42,62,2,Social Science,Environmental Informatics,second,1,Other,50,4,1,3
3694,Fall,2020,CMDA 2014,No,20,7.5,3,A,95,70,65,80,8,Republican,25,35,80,76,80,-99,8,14,2,6,70,3,75000,86,5,90,Business,Environmental Informatics,third,3,Crime/Violence,60,1,3.83636363636364,3.12244897959184
AP69,Fall,2020,CMDA 2014,No,21,11,1,A,83,50,41,19,40,Independent,0,81,62,28,72,10000,1,40,2,10,50,10,76000,92,30,50,Business,Environmental Informatics,fourth,5,Other,81,1,10,1
1790,Fall,2020,CMDA 2014,No,20,8.5,3,A,90,50,80,35,20,Independent,50,50,40,30,85,-99,3,5,3,15,49,5,90000,30,42.2941176470588,70,Other,Psychology,third,0,Health Care Costs,100,3,2,6
ajc1,Fall,2020,CMDA 2014,No,20,10.5,1,A-,79,41,35,12,75,Independent,76,80,40,88,86,6000,2,15,2,8,40,20,75000,85,2,100,Math/Engineering/Statistics/Computer Science,Environmental Informatics,third,6,Other,67,2.96296296296296,4,1
land,Fall,2020,CMDA 2014,No,22,12,4,A,73,81,64,36,8,Other,3,72,100,86,68,8000,4,26,2,18,7,6,80000,94,46,80,Math/Engineering/Statistics/Computer Science,Environmental Informatics,fourth,14,Crime/Violence,81,0,1,3.12244897959184
1104,Fall,2020,CMDA 2014,No,19,8,2,A,82,40,70,30,25,Democrat,50,50,30,10,92,5000,5,29,4,20,49,7,150000,40,81,81,Social Science,Environmental Informatics,second,1,Education,40,6,3,2
315,Fall,2020,CMDA 2014,No,20,8,1,A,83,79,88,41,50,Democrat,75,41,40,57,65,-99,10,7,3.51666666666667,8,6,2,1e+05,63,95,72,Physical/Life Science,Environmental Informatics,third,2,Other,63,5,4,5
323,Fall,2020,CMDA 2014,No,20,10.5,2,B+,90,25,35,50,8,Independent,50,55,65,65,25,-99,2,9,2,18,40,5,80000,61,95,85,Business,Environmental Informatics,third,3,Crime/Violence,60,3,4,1
4231,Fall,2020,CMDA 2014,No,21.5,13,2,A,70,75,20,75,50,Other,90,75,75,75,85,-99,20,20,3,35,35,10,2e+05,80,20,80,Math/Engineering/Statistics/Computer Science,Environmental Informatics,fourth,5,Budget deficit,50,2,8,3.12244897959184
601,Fall,2020,CMDA 2014,No,19,7,1,B,79,43,59,47,10,Democrat,1,94,93,78,88,-99,7,8,2,20,59,5,60000,72,42.2941176470588,63,Math/Engineering/Statistics/Computer Science,Environmental Informatics,second,3,Health Care Costs,89,2.96296296296296,2,3.12244897959184
AG21,Fall,2020,CMDA 2014,No,21,9.5,1,A-,92,41,16,56,50,Republican,0,21,32,50,82,9000,1,5,2,3,54,6,80000,58,42.2941176470588,40,Business,Environmental Informatics,third,1,Education,71,3,1,6
2511,Fall,2020,CMDA 2014,No,20,12,1,B+,92,50,75,73,57,Democrat,0,94,62,62,100,12000,5,7,3,10,56,8,87896.6101694915,70,45,23,Physical/Life Science,Environmental Informatics,fourth,6,Taxes,76,1,5,2
YEET,Fall,2020,CMDA 2014,No,20,9,2,A-,5,75,100,25,500,Other,50,100,85,100,100,999,6,12,3,80,49,2,85000,81,42.2941176470588,51,Math/Engineering/Statistics/Computer Science,Environmental Informatics,second,5,Other,100,2.96296296296296,1,3.12244897959184
815,Fall,2020,CMDA 2014,No,19,8,1,B+,100,50,20,44,40,Republican,100,64.75,0,0,50,-99,23,45,2,20,45,4,80000,60,40,100,Other,Political Science,second,0,Crime/Violence,40,7,0,5
9E1L,Fall,2020,CMDA 2014,No,21.5,13,2,A,75,75,15,80,50,Other,90,80,80,80,80,-99,20,20,3,35,50,10,2e+05,80,20,80,Math/Engineering/Statistics/Computer Science,Environmental Informatics,fourth,5,Budget deficit,40,2,8,3.12244897959184
3093,Fall,2020,CMDA 2014,No,20,6,0,A-,85,75,60,70,50,Democrat,47.5471698113208,30,40,50,100,8670,1,8,3,26,49,4.5,65000,65,42.2941176470588,74,Business,Environmental Informatics,third,3,Education,50,4,3.83636363636364,2
7592,Fall,2020,CMDA 2014,No,19.2,6.5,1,A,83,51,51,51,50,Democrat,100,50,52,50,89,5000,7,20,3,25,45,3,150000,78,28,11,Other,BIT-Cyber,second,3,Immigration,100,0,6,3.12244897959184
AW31,Fall,2020,CMDA 2014,No,21,9,2,A-,85,60,85,25,175,Democrat,47.5471698113208,75,30,80,45,4000,12,12,6,10,56,4,60000,70,65,65,Other,Environmental Informatics,fourth,5,Other,60,4,3.83636363636364,3.12244897959184
IBLT,Fall,2020,CMDA 2014,No,19,10.5,1,A,80,100,1,100,61.3166666666667,Democrat,1,50,50,0,90,-99,20,10,4,16.35,55,8,1e+05,1,50,100,Social Science,Environmental Informatics,second,1,Education,70,5,1,5
2000,Fall,2020,CMDA 2014,No,20,9.5,2,A,40,49,63,46,40,Republican,72,26,7,66,37,-99,2,10,2,15,44,0,70000,55,65,35,Business,Environmental Informatics,third,4,Other,80,6,3.83636363636364,3.12244897959184
ZIRO,Fall,2020,CMDA 2014,No,19,9.5,2,A,51,57.0847457627119,76,48.4833333333333,29,Democrat,47.5471698113208,68,18,63,81,2000,6,6,3,15,7,3,80000,78,18,64.3684210526316,Business,Environmental Informatics,third,3,Budget deficit,83,0,3,2
6434,Fall,2020,CMDA 2014,No,20,13,1,A,100,60,100,52,100,Democrat,1,2,96,0,96,1500,0,1,3,4,40,14,40000,0,42.2941176470588,70,Humanities,Environmental Informatics,third,0,Other,92,5,3.83636363636364,10
9231,Fall,2020,CMDA 2014,No,21,12,3,B+,75,50,77,60,35,Other,1,70,65,0,87,15000,10,20,2,4,56,14,70000,35,37,100,Math/Engineering/Statistics/Computer Science,Environmental Informatics,fourth,5,Other,71,2,5,9
2502,Fall,2020,CMDA 2014,No,18,9,1,A,60,81,31,35,13,Republican,47.5471698113208,96,50,91,86,-99,6,5,2,12,45,9,80000,90,19,70,Math/Engineering/Statistics/Computer Science,Environmental Informatics,first,2,Health Care Costs,97,2.96296296296296,6,3.12244897959184
3020,Fall,2020,CMDA 2014,No,21,7.5,3,A,90,37,63,66,30,Democrat,24,63,78,22,86,-99,3,24,4,30,60,2,2e+05,76,4,84,Math/Engineering/Statistics/Computer Science,Environmental Informatics,fourth,8,Education,64,1,6,1
310,Fall,2020,CMDA 2014,No,21,11,3,B,80,10,20,34,4,Other,0,85,80,10,90,-99,2,5,3,2,47,2,65000,30,10,10,Other,Environmental Informatics,fourth,0,Taxes,70,2,2,5
1616,Fall,2020,CMDA 2014,No,21.4,10.5,1,A,85,96,62,66,350,Democrat,100,85,86,62,100,4000,13,18,6,15,8,5,80000,75,10,89,Social Science,Environmental Informatics,fourth,2,Education,100,1,7,10
